Name,Key,Value
Send As,Send As,ab721a54-1e2f-11d0-9819-00aa0040529b
Send Message,Send Message,06bd3202-df3e-11d1-9c86-006008764d0e
Send To,Send To,ab721a55-1e2f-11d0-9819-00aa0040529b
Set Owner of an object during creation.,Set Owner of an object during creation.,4125c71f-7fac-4ff0-bcb7-f09a41325286
Terminal Server License Server,Terminal Server License Server,5805bc62-bdc9-4428-a5e2-856a0f4c185e
Unexpire Password,Unexpire Password,ccc2dc7d-a6ad-4a7a-8846-c04e3cc53501
Update Password Not Required Bit,Update Password Not Required Bit,280f369c-67c7-438e-ae98-1d46f3c6f541
Update Schema Cache,Update Schema Cache,be2bb760-7f46-11d2-b9ad-00c04f79f805
Validated write to computer attributes.,Validated write to computer attributes.,9b026da6-0d3c-465c-8bee-5199d7165cba
Validated write to DNS host name,Validated write to DNS host name,72e39547-7b18-11d1-adef-00c04fd8d5cd
Validated write to MS DS Additional DNS Host Name,Validated write to MS DS Additional DNS Host Name,80863791-dbe9-4eb8-837e-7f0ab55d9ac7
Validated write to MS DS behavior version,Validated write to MS DS behavior version,d31a8757-2447-4545-8081-3bb610cacbf2
Validated write to MS DS Jet Database Page Size,Validated write to MS DS Jet Database Page Size,da823a60-41f0-4c89-942b-2b70a6c003d4
Validated write to service principal name,Validated write to service principal name,f3a64788-5306-11d1-a9c5-0000f80367c1
Web Information,Web Information,e45795b3-9455-11d1-aebd-0000f80367c1
Write secret attributes of objects in a Partition.,Write secret attributes of objects in a Partition.,94825a8d-b171-4116-8146-1e34d8f54401
