Name,Key,Value
allowedAttributesEffective,allowedAttributesEffective,9a7ad941-ca53-11d1-bbd0-0080c76670c0
allowedChildClasses,allowedChildClasses,9a7ad942-ca53-11d1-bbd0-0080c76670c0
allowedChildClassesEffective,allowedChildClassesEffective,9a7ad943-ca53-11d1-bbd0-0080c76670c0
altSecurityIdentities,altSecurityIdentities,00fbf30c-91fe-11d1-aebc-0000f80367c1
aNR,aNR,45b01500-c419-11d1-bbc9-0080c76670c0
applicationEntity,applicationEntity,3fdfee4f-47f4-11d1-a9c3-0000f80367c1
applicationName,applicationName,dd712226-10e4-11d0-a05f-00aa006c33ed
applicationProcess,applicationProcess,5fd4250b-1262-11d0-a060-00aa006c33ed
applicationSettings,applicationSettings,f780acc1-56f0-11d1-a9c6-0000f80367c1
applicationSiteSettings,applicationSiteSettings,19195a5c-6da0-11d0-afd3-00c04fd930c9
applicationVersion,applicationVersion,ddc790ac-af4d-442a-8f0f-a1d4caa7dd92
appliesTo,appliesTo,8297931d-86d3-11d0-afda-00c04fd930c9
appSchemaVersion,appSchemaVersion,96a7dd65-9118-11d1-aebc-0000f80367c1
assetNumber,assetNumber,ba305f75-47e3-11d0-a1a6-00c04fd930c9
assistant,assistant,0296c11c-40da-11d1-a9c0-0000f80367c1
associatedDomain,associatedDomain,3320fc38-c379-4c17-a510-1bdf6133c5da
associatedName,associatedName,f7fbfc45-85ab-42a4-a435-780e62f7858b
assocNTAccount,assocNTAccount,398f63c0-ca60-11d1-bbd1-0000f81f10c0
attributeCertificateAttribute,attributeCertificateAttribute,fa4693bb-7bc2-4cb9-81a8-c99c43b7905e
attributeDisplayNames,attributeDisplayNames,cb843f80-48d9-11d1-a9c3-0000f80367c1
attributeID,attributeID,bf967922-0de6-11d0-a285-00aa003049e2
attributeSchema,attributeSchema,bf967a80-0de6-11d0-a285-00aa003049e2
attributeSecurityGUID,attributeSecurityGUID,bf967924-0de6-11d0-a285-00aa003049e2
attributeSyntax,attributeSyntax,bf967925-0de6-11d0-a285-00aa003049e2
attributeTypes,attributeTypes,9a7ad944-ca53-11d1-bbd0-0080c76670c0
audio,audio,d0e1d224-e1a0-42ce-a2da-793ba5244f35
auditingPolicy,auditingPolicy,6da8a4fe-0e52-11d0-a286-00aa003049e2
authenticationOptions,authenticationOptions,bf967928-0de6-11d0-a285-00aa003049e2
authorityRevocationList,authorityRevocationList,1677578d-47f3-11d1-a9c3-0000f80367c1
auxiliaryClass,auxiliaryClass,bf96792c-0de6-11d0-a285-00aa003049e2
badPasswordTime,badPasswordTime,bf96792d-0de6-11d0-a285-00aa003049e2
badPwdCount,badPwdCount,bf96792e-0de6-11d0-a285-00aa003049e2
birthLocation,birthLocation,1f0075f9-7e40-11d0-afd6-00c04fd930c9
bootableDevice,bootableDevice,4bcb2477-4bb3-4545-a9fc-fb66e136b435
bootFile,bootFile,e3f3cb4e-0f20-42eb-9703-d2ff26e52667
bootParameter,bootParameter,d72a0750-8c7c-416e-8714-e65f11e908be
bridgeheadServerListBL,bridgeheadServerListBL,d50c2cdb-8951-11d1-aebc-0000f80367c1
bridgeheadTransportList,bridgeheadTransportList,d50c2cda-8951-11d1-aebc-0000f80367c1
buildingName,buildingName,f87fa54b-b2c5-4fd7-88c0-daccb21d93c5
builtinCreationTime,builtinCreationTime,bf96792f-0de6-11d0-a285-00aa003049e2
builtinDomain,builtinDomain,bf967a81-0de6-11d0-a285-00aa003049e2
builtinModifiedCount,builtinModifiedCount,bf967930-0de6-11d0-a285-00aa003049e2
businessCategory,businessCategory,bf967931-0de6-11d0-a285-00aa003049e2
bytesPerMinute,bytesPerMinute,ba305f76-47e3-11d0-a1a6-00c04fd930c9
c,c,bf967945-0de6-11d0-a285-00aa003049e2
cACertificate,cACertificate,bf967932-0de6-11d0-a285-00aa003049e2
cACertificateDN,cACertificateDN,963d2740-48be-11d1-a9c3-0000f80367c1
cAConnect,cAConnect,963d2735-48be-11d1-a9c3-0000f80367c1
canonicalName,canonicalName,9a7ad945-ca53-11d1-bbd0-0080c76670c0
canUpgradeScript,canUpgradeScript,d9e18314-8939-11d1-aebc-0000f80367c1
carLicense,carLicense,d4159c92-957d-4a87-8a67-8d2934e01649
catalogs,catalogs,7bfdcb81-4807-11d1-a9c3-0000f80367c1
categories,categories,7bfdcb7e-4807-11d1-a9c3-0000f80367c1
categoryId,categoryId,7d6c0e94-7e20-11d0-afd6-00c04fd930c9
categoryRegistration,categoryRegistration,7d6c0e9d-7e20-11d0-afd6-00c04fd930c9
cAUsages,cAUsages,963d2738-48be-11d1-a9c3-0000f80367c1
cAWEBURL,cAWEBURL,963d2736-48be-11d1-a9c3-0000f80367c1
certificateAuthorityObject,certificateAuthorityObject,963d2732-48be-11d1-a9c3-0000f80367c1
certificateRevocationList,certificateRevocationList,1677579f-47f3-11d1-a9c3-0000f80367c1
certificateTemplates,certificateTemplates,2a39c5b1-8960-11d1-aebc-0000f80367c1
certificationAuthority,certificationAuthority,3fdfee50-47f4-11d1-a9c3-0000f80367c1
classDisplayName,classDisplayName,548e1c22-dea6-11d0-b010-0000f80367c1
classRegistration,classRegistration,bf967a82-0de6-11d0-a285-00aa003049e2
classSchema,classSchema,bf967a83-0de6-11d0-a285-00aa003049e2
classStore,classStore,bf967a84-0de6-11d0-a285-00aa003049e2
cn,cn,bf96793f-0de6-11d0-a285-00aa003049e2
co,co,f0f8ffa7-1191-11d0-a060-00aa006c33ed
codePage,codePage,bf967938-0de6-11d0-a285-00aa003049e2
cOMClassID,cOMClassID,bf96793b-0de6-11d0-a285-00aa003049e2
cOMCLSID,cOMCLSID,281416d9-1968-11d0-a28f-00aa003049e2
comConnectionPoint,comConnectionPoint,bf967a85-0de6-11d0-a285-00aa003049e2
cOMInterfaceID,cOMInterfaceID,bf96793c-0de6-11d0-a285-00aa003049e2
comment,comment,bf967a6a-0de6-11d0-a285-00aa003049e2
cOMOtherProgId,cOMOtherProgId,281416dd-1968-11d0-a28f-00aa003049e2
company,company,f0f8ff88-1191-11d0-a060-00aa006c33ed
cOMProgID,cOMProgID,bf96793d-0de6-11d0-a285-00aa003049e2
computer,computer,bf967a86-0de6-11d0-a285-00aa003049e2
cOMTreatAsClassId,cOMTreatAsClassId,281416db-1968-11d0-a28f-00aa003049e2
cOMTypelibId,cOMTypelibId,281416de-1968-11d0-a28f-00aa003049e2
cOMUniqueLIBID,cOMUniqueLIBID,281416da-1968-11d0-a28f-00aa003049e2
configuration,configuration,bf967a87-0de6-11d0-a285-00aa003049e2
connectionPoint,connectionPoint,5cb41ecf-0e4c-11d0-a286-00aa003049e2
contact,contact,5cb41ed0-0e4c-11d0-a286-00aa003049e2
container,container,bf967a8b-0de6-11d0-a285-00aa003049e2
contentIndexingAllowed,contentIndexingAllowed,bf967943-0de6-11d0-a285-00aa003049e2
contextMenu,contextMenu,4d8601ee-ac85-11d0-afe3-00c04fd930c9
controlAccessRight,controlAccessRight,8297931e-86d3-11d0-afda-00c04fd930c9
controlAccessRights,controlAccessRights,6da8a4fc-0e52-11d0-a286-00aa003049e2
cost,cost,bf967944-0de6-11d0-a285-00aa003049e2
country,country,bf967a8c-0de6-11d0-a285-00aa003049e2
countryCode,countryCode,5fd42471-1262-11d0-a060-00aa006c33ed
createDialog,createDialog,2b09958a-8931-11d1-aebc-0000f80367c1
createTimeStamp,createTimeStamp,2df90d73-009f-11d2-aa4c-00c04fd7d83a
createWizardExt,createWizardExt,2b09958b-8931-11d1-aebc-0000f80367c1
creationTime,creationTime,bf967946-0de6-11d0-a285-00aa003049e2
creationWizard,creationWizard,4d8601ed-ac85-11d0-afe3-00c04fd930c9
creator,creator,7bfdcb85-4807-11d1-a9c3-0000f80367c1
cRLDistributionPoint,cRLDistributionPoint,167758ca-47f3-11d1-a9c3-0000f80367c1
cRLObject,cRLObject,963d2737-48be-11d1-a9c3-0000f80367c1
cRLPartitionedRevocationList,cRLPartitionedRevocationList,963d2731-48be-11d1-a9c3-0000f80367c1
crossCertificatePair,crossCertificatePair,167757b2-47f3-11d1-a9c3-0000f80367c1
crossRef,crossRef,bf967a8d-0de6-11d0-a285-00aa003049e2
crossRefContainer,crossRefContainer,ef9e60e0-56f7-11d1-a9c6-0000f80367c1
currentLocation,currentLocation,1f0075fc-7e40-11d0-afd6-00c04fd930c9
currentParentCA,currentParentCA,963d273f-48be-11d1-a9c3-0000f80367c1
currentValue,currentValue,bf967947-0de6-11d0-a285-00aa003049e2
currMachineId,currMachineId,1f0075fe-7e40-11d0-afd6-00c04fd930c9
dBCSPwd,dBCSPwd,bf96799c-0de6-11d0-a285-00aa003049e2
dc,dc,19195a55-6da0-11d0-afd3-00c04fd930c9
defaultClassStore,defaultClassStore,bf967948-0de6-11d0-a285-00aa003049e2
defaultGroup,defaultGroup,720bc4e2-a54a-11d0-afdf-00c04fd930c9
defaultHidingValue,defaultHidingValue,b7b13116-b82e-11d0-afee-0000f80367c1
defaultLocalPolicyObject,defaultLocalPolicyObject,bf96799f-0de6-11d0-a285-00aa003049e2
defaultObjectCategory,defaultObjectCategory,26d97367-6070-11d1-a9c6-0000f80367c1
defaultPriority,defaultPriority,281416c8-1968-11d0-a28f-00aa003049e2
defaultSecurityDescriptor,defaultSecurityDescriptor,807a6d30-1669-11d0-a064-00aa006c33ed
deltaRevocationList,deltaRevocationList,167757b5-47f3-11d1-a9c3-0000f80367c1
department,department,bf96794f-0de6-11d0-a285-00aa003049e2
departmentNumber,departmentNumber,be9ef6ee-cbc7-4f22-b27b-96967e7ee585
description,description,bf967950-0de6-11d0-a285-00aa003049e2
desktopProfile,desktopProfile,eea65906-8ac6-11d0-afda-00c04fd930c9
destinationIndicator,destinationIndicator,bf967951-0de6-11d0-a285-00aa003049e2
device,device,bf967a8e-0de6-11d0-a285-00aa003049e2
dfsConfiguration,dfsConfiguration,8447f9f2-1027-11d0-a05f-00aa006c33ed
dHCPClass,dHCPClass,963d2756-48be-11d1-a9c3-0000f80367c1
dhcpClasses,dhcpClasses,963d2750-48be-11d1-a9c3-0000f80367c1
dhcpFlags,dhcpFlags,963d2741-48be-11d1-a9c3-0000f80367c1
dhcpIdentification,dhcpIdentification,963d2742-48be-11d1-a9c3-0000f80367c1
dhcpMask,dhcpMask,963d2747-48be-11d1-a9c3-0000f80367c1
dhcpMaxKey,dhcpMaxKey,963d2754-48be-11d1-a9c3-0000f80367c1
dhcpObjDescription,dhcpObjDescription,963d2744-48be-11d1-a9c3-0000f80367c1
dhcpObjName,dhcpObjName,963d2743-48be-11d1-a9c3-0000f80367c1
dhcpOptions,dhcpOptions,963d274f-48be-11d1-a9c3-0000f80367c1
dhcpProperties,dhcpProperties,963d2753-48be-11d1-a9c3-0000f80367c1
dhcpRanges,dhcpRanges,963d2748-48be-11d1-a9c3-0000f80367c1
dhcpReservations,dhcpReservations,963d274a-48be-11d1-a9c3-0000f80367c1
dhcpServers,dhcpServers,963d2745-48be-11d1-a9c3-0000f80367c1
dhcpSites,dhcpSites,963d2749-48be-11d1-a9c3-0000f80367c1
dhcpState,dhcpState,963d2752-48be-11d1-a9c3-0000f80367c1
dhcpSubnets,dhcpSubnets,963d2746-48be-11d1-a9c3-0000f80367c1
dhcpType,dhcpType,963d273b-48be-11d1-a9c3-0000f80367c1
dhcpUniqueKey,dhcpUniqueKey,963d273a-48be-11d1-a9c3-0000f80367c1
dhcpUpdateTime,dhcpUpdateTime,963d2755-48be-11d1-a9c3-0000f80367c1
directReports,directReports,bf967a1c-0de6-11d0-a285-00aa003049e2
displayName,displayName,bf967953-0de6-11d0-a285-00aa003049e2
displayNamePrintable,displayNamePrintable,bf967954-0de6-11d0-a285-00aa003049e2
displaySpecifier,displaySpecifier,e0fa1e8a-9b45-11d0-afdd-00c04fd930c9
displayTemplate,displayTemplate,5fd4250c-1262-11d0-a060-00aa006c33ed
distinguishedName,distinguishedName,bf9679e4-0de6-11d0-a285-00aa003049e2
dITContentRules,dITContentRules,9a7ad946-ca53-11d1-bbd0-0080c76670c0
division,division,fe6136a0-2073-11d0-a9c2-00aa006c33ed
dMD,dMD,bf967a8f-0de6-11d0-a285-00aa003049e2
dMDLocation,dMDLocation,f0f8ff8b-1191-11d0-a060-00aa006c33ed
dmdName,dmdName,167757b9-47f3-11d1-a9c3-0000f80367c1
dNReferenceUpdate,dNReferenceUpdate,2df90d86-009f-11d2-aa4c-00c04fd7d83a
dnsAllowDynamic,dnsAllowDynamic,e0fa1e65-9b45-11d0-afdd-00c04fd930c9
dnsAllowXFR,dnsAllowXFR,e0fa1e66-9b45-11d0-afdd-00c04fd930c9
dNSHostName,dNSHostName,72e39547-7b18-11d1-adef-00c04fd8d5cd
dnsNode,dnsNode,e0fa1e8c-9b45-11d0-afdd-00c04fd930c9
dnsNotifySecondaries,dnsNotifySecondaries,e0fa1e68-9b45-11d0-afdd-00c04fd930c9
dNSProperty,dNSProperty,675a15fe-3b70-11d2-90cc-00c04fd91ab1
dnsRecord,dnsRecord,e0fa1e69-9b45-11d0-afdd-00c04fd930c9
dnsRoot,dnsRoot,bf967959-0de6-11d0-a285-00aa003049e2
dnsSecureSecondaries,dnsSecureSecondaries,e0fa1e67-9b45-11d0-afdd-00c04fd930c9
dNSTombstoned,dNSTombstoned,d5eb2eb7-be4e-463b-a214-634a44d7392e
dnsZone,dnsZone,e0fa1e8b-9b45-11d0-afdd-00c04fd930c9
dnsZoneScope,dnsZoneScope,696f8a61-2d3f-40ce-a4b3-e275dfcc49c5
dnsZoneScopeContainer,dnsZoneScopeContainer,f2699093-f25a-4220-9deb-03df4cc4a9c5
document,document,39bad96d-c2d6-4baf-88ab-7e4207600117
documentAuthor,documentAuthor,f18a8e19-af5f-4478-b096-6f35c27eb83f
documentIdentifier,documentIdentifier,0b21ce82-ff63-46d9-90fb-c8b9f24e97b9
documentLocation,documentLocation,b958b14e-ac6d-4ec4-8892-be70b69f7281
documentPublisher,documentPublisher,170f09d7-eb69-448a-9a30-f1afecfd32d7
documentSeries,documentSeries,7a2be07c-302f-4b96-bc90-0795d66885f8
documentTitle,documentTitle,de265a9c-ff2c-47b9-91dc-6e6fe2c43062
